,Name,Start Time,End Time,Date,Day,Energy,Imax,Duration_str,Duration_Sec
5,EM3_L1,07:15:00,10:15:00,01-04-2022,Friday,55902,28,03:00:00,10800
102,EM4_L1,08:15:00,09:30:00,01-04-2022,Friday,28003.8,29.9,01:15:00,4500
128,EM4_L2,08:15:00,09:30:00,01-04-2022,Friday,27739.8,29.6,01:15:00,4500
153,EM4_L3,08:15:00,09:30:00,01-04-2022,Friday,27951,29.9,01:15:00,4500
6,EM3_L1,12:10:00,13:45:00,01-04-2022,Friday,20902.2,27.2,01:35:00,5700
7,EM3_L1,08:10:00,12:15:00,04-04-2022,Monday,51090.6,28.2,04:05:00,14700
8,EM3_L1,08:15:00,10:30:00,05-04-2022,Tuesday,46272.6,28.2,02:15:00,8100
103,EM4_L1,13:55:00,14:25:00,05-04-2022,Tuesday,10263,29.9,00:30:00,1800
129,EM4_L2,13:55:00,14:25:00,05-04-2022,Tuesday,10157.4,29.6,00:30:00,1800
154,EM4_L3,13:55:00,14:25:00,05-04-2022,Tuesday,10256.4,29.9,00:30:00,1800
104,EM4_L1,15:10:00,17:05:00,05-04-2022,Tuesday,37725.6,29.9,01:55:00,6900
130,EM4_L2,15:10:00,17:05:00,05-04-2022,Tuesday,37342.8,29.6,01:55:00,6900
155,EM4_L3,15:10:00,17:05:00,05-04-2022,Tuesday,37659.6,29.9,01:55:00,6900
9,EM3_L1,06:55:00,09:15:00,06-04-2022,Wednesday,24796.2,27.5,02:20:00,8400
10,EM3_L1,08:10:00,12:10:00,07-04-2022,Thursday,64845,27.8,04:00:00,14400
11,EM3_L1,09:35:00,12:20:00,08-04-2022,Friday,58601.4,28,02:45:00,9900
105,EM4_L1,12:20:00,13:30:00,08-04-2022,Friday,26400,29.9,01:10:00,4200
131,EM4_L2,12:20:00,13:30:00,08-04-2022,Friday,26149.2,29.6,01:10:00,4200
156,EM4_L3,12:20:00,13:30:00,08-04-2022,Friday,26360.4,29.9,01:10:00,4200
12,EM3_L1,13:20:00,14:30:00,08-04-2022,Friday,7121.4,17.5,01:10:00,4200
13,EM3_L1,06:55:00,09:40:00,11-04-2022,Monday,27126,28,02:45:00,9900
14,EM3_L1,08:10:00,11:10:00,12-04-2022,Tuesday,35798.4,28.1,03:00:00,10800
106,EM4_L1,10:00:00,10:20:00,13-04-2022,Wednesday,5088.6,27.5,00:20:00,1200
132,EM4_L2,10:00:00,10:20:00,13-04-2022,Wednesday,5029.2,27.2,00:20:00,1200
157,EM4_L3,10:00:00,10:20:00,13-04-2022,Wednesday,5082,27.5,00:20:00,1200
107,EM4_L1,17:05:00,20:10:00,17-04-2022,Sunday,64673.4,31.1,03:05:00,11100
133,EM4_L2,17:05:00,20:10:00,17-04-2022,Sunday,63591,30.6,03:05:00,11100
158,EM4_L3,17:05:00,20:10:00,17-04-2022,Sunday,63888,30.7,03:05:00,11100
15,EM3_L1,07:00:00,07:40:00,19-04-2022,Tuesday,983.4,3.3,00:40:00,2400
108,EM4_L1,12:05:00,14:00:00,19-04-2022,Tuesday,42431.4,31.1,01:55:00,6900
134,EM4_L2,12:05:00,14:00:00,19-04-2022,Tuesday,42055.2,30.9,01:55:00,6900
159,EM4_L3,12:05:00,14:00:00,19-04-2022,Tuesday,42075,30.9,01:55:00,6900
16,EM3_L1,06:35:00,11:00:00,20-04-2022,Wednesday,55684.2,27.6,04:25:00,15900
17,EM3_L1,11:15:00,12:25:00,20-04-2022,Wednesday,3451.8,10.9,01:10:00,4200
109,EM4_L1,12:15:00,12:50:00,20-04-2022,Wednesday,11536.8,29,00:35:00,2100
135,EM4_L2,12:15:00,12:50:00,20-04-2022,Wednesday,11352,28.6,00:35:00,2100
160,EM4_L3,12:15:00,12:50:00,20-04-2022,Wednesday,11411.4,28.7,00:35:00,2100
18,EM3_L1,08:15:00,10:20:00,21-04-2022,Thursday,42193.8,27.5,02:05:00,7500
19,EM3_L1,11:40:00,14:40:00,21-04-2022,Thursday,39098.4,27.8,03:00:00,10800
110,EM4_L1,15:10:00,17:35:00,21-04-2022,Thursday,51321.6,31.1,02:25:00,8700
136,EM4_L2,15:10:00,17:35:00,21-04-2022,Thursday,50602.2,30.7,02:25:00,8700
161,EM4_L3,15:10:00,17:35:00,21-04-2022,Thursday,50793.6,30.8,02:25:00,8700
20,EM3_L1,08:05:00,12:15:00,22-04-2022,Friday,66039.6,28.1,04:10:00,15000
111,EM4_L1,17:35:00,17:50:00,22-04-2022,Friday,85.8,0.6,00:15:00,900
137,EM4_L2,17:35:00,17:50:00,22-04-2022,Friday,79.2,0.6,00:15:00,900
162,EM4_L3,17:35:00,17:50:00,22-04-2022,Friday,79.2,0.6,00:15:00,900
21,EM3_L1,13:50:00,17:45:00,24-04-2022,Sunday,48879.6,15.9,03:55:00,14100
50,EM3_L2,13:50:00,17:45:00,24-04-2022,Sunday,48807,15.8,03:55:00,14100
76,EM3_L3,13:50:00,17:45:00,24-04-2022,Sunday,49110.6,15.9,03:55:00,14100
112,EM4_L1,13:50:00,14:30:00,24-04-2022,Sunday,14784,31.1,00:40:00,2400
138,EM4_L2,13:50:00,14:30:00,24-04-2022,Sunday,14592.6,30.7,00:40:00,2400
163,EM4_L3,13:50:00,14:30:00,24-04-2022,Sunday,14638.8,30.8,00:40:00,2400
113,EM4_L1,06:40:00,08:55:00,25-04-2022,Monday,55182.6,31.3,02:15:00,8100
139,EM4_L2,06:40:00,08:50:00,25-04-2022,Monday,343.2,0.2,02:10:00,7800
164,EM4_L3,06:40:00,08:50:00,25-04-2022,Monday,343.2,0.2,02:10:00,7800
22,EM3_L1,07:45:00,08:45:00,25-04-2022,Monday,21931.8,31.4,01:00:00,3600
51,EM3_L2,07:45:00,08:45:00,25-04-2022,Monday,21714,31.1,01:00:00,3600
77,EM3_L3,07:45:00,08:45:00,25-04-2022,Monday,21733.8,31.1,01:00:00,3600
23,EM3_L1,10:15:00,14:30:00,25-04-2022,Monday,93621,31.2,04:15:00,15300
24,EM3_L1,18:00:00,22:05:00,25-04-2022,Monday,50503.2,16,04:05:00,14700
52,EM3_L2,18:00:00,22:05:00,25-04-2022,Monday,50450.4,15.9,04:05:00,14700
78,EM3_L3,18:00:00,22:05:00,25-04-2022,Monday,50450.4,15.9,04:05:00,14700
114,EM4_L1,18:15:00,18:20:00,25-04-2022,Monday,831.6,12.6,00:05:00,300
140,EM4_L2,18:15:00,18:20:00,25-04-2022,Monday,838.2,12.7,00:05:00,300
165,EM4_L3,18:15:00,18:20:00,25-04-2022,Monday,838.2,12.7,00:05:00,300
115,EM4_L1,19:20:00,00:10:00,25-04-2022,Monday,59314.2,16.2,"-1 day, 4:50:00",0
141,EM4_L2,19:20:00,00:10:00,25-04-2022,Monday,58198.8,15.9,"-1 day, 4:50:00",-69000
166,EM4_L3,19:20:00,00:10:00,25-04-2022,Monday,58687.2,16,"-1 day, 4:50:00",-69000
25,EM3_L1,07:35:00,11:30:00,26-04-2022,Tuesday,47698.2,16,03:55:00,14100
53,EM3_L2,07:35:00,11:30:00,26-04-2022,Tuesday,47737.8,15.9,03:55:00,14100
79,EM3_L3,07:35:00,11:30:00,26-04-2022,Tuesday,48061.2,15.9,03:55:00,14100
116,EM4_L1,07:55:00,10:10:00,26-04-2022,Tuesday,46107.6,31,02:15:00,8100
142,EM4_L2,07:55:00,10:10:00,26-04-2022,Tuesday,45467.4,30.6,02:15:00,8100
167,EM4_L3,07:55:00,10:10:00,26-04-2022,Tuesday,45553.2,30.6,02:15:00,8100
117,EM4_L1,10:45:00,13:20:00,26-04-2022,Tuesday,50899.2,27.6,02:35:00,9300
143,EM4_L2,10:45:00,12:45:00,26-04-2022,Tuesday,316.8,0.2,02:00:00,7200
26,EM3_L1,13:15:00,15:05:00,26-04-2022,Tuesday,20585.4,15.4,01:50:00,6600
54,EM3_L2,13:15:00,15:05:00,26-04-2022,Tuesday,20031,15,01:50:00,6600
80,EM3_L3,13:15:00,15:05:00,26-04-2022,Tuesday,18612,13.9,01:50:00,6600
27,EM3_L1,18:25:00,21:30:00,26-04-2022,Tuesday,37976.4,16,03:05:00,11100
55,EM3_L2,18:25:00,21:30:00,26-04-2022,Tuesday,37798.2,15.9,03:05:00,11100
81,EM3_L3,18:25:00,21:30:00,26-04-2022,Tuesday,37989.6,15.9,03:05:00,11100
118,EM4_L1,07:10:00,08:05:00,27-04-2022,Wednesday,10923,16.1,00:55:00,3300
144,EM4_L2,07:10:00,08:05:00,27-04-2022,Wednesday,10923,16.1,00:55:00,3300
168,EM4_L3,07:10:00,08:05:00,27-04-2022,Wednesday,10903.2,16.2,00:55:00,3300
28,EM3_L1,07:30:00,08:45:00,27-04-2022,Wednesday,13510.2,15.8,01:15:00,4500
56,EM3_L2,07:30:00,08:45:00,27-04-2022,Wednesday,13602.6,15.9,01:15:00,4500
82,EM3_L3,07:30:00,08:45:00,27-04-2022,Wednesday,13741.2,16,01:15:00,4500
29,EM3_L1,10:10:00,12:35:00,27-04-2022,Wednesday,24670.8,14.1,02:25:00,8700
30,EM3_L1,16:45:00,17:35:00,27-04-2022,Wednesday,8580,14.6,00:50:00,3000
119,EM4_L1,17:35:00,00:05:00,27-04-2022,Wednesday,70250.4,15.6,"-1 day, 6:30:00",0
145,EM4_L2,17:35:00,00:05:00,27-04-2022,Wednesday,68996.4,15.3,"-1 day, 6:30:00",-63000
169,EM4_L3,17:35:00,00:05:00,27-04-2022,Wednesday,70144.8,15.6,"-1 day, 6:30:00",-63000
31,EM3_L1,17:40:00,21:25:00,27-04-2022,Wednesday,47520,16.1,03:45:00,13500
57,EM3_L2,17:40:00,21:25:00,27-04-2022,Wednesday,47645.4,16.1,03:45:00,13500
83,EM3_L3,17:40:00,21:25:00,27-04-2022,Wednesday,48015,16.2,03:45:00,13500
32,EM3_L1,02:05:00,02:10:00,28-04-2022,Thursday,429,6.5,00:05:00,300
58,EM3_L2,02:05:00,02:10:00,28-04-2022,Thursday,422.4,6.4,00:05:00,300
84,EM3_L3,02:05:00,02:10:00,28-04-2022,Thursday,429,6.5,00:05:00,300
33,EM3_L1,03:15:00,03:20:00,28-04-2022,Thursday,198,3,00:05:00,300
59,EM3_L2,03:15:00,03:20:00,28-04-2022,Thursday,198,3,00:05:00,300
85,EM3_L3,03:15:00,03:20:00,28-04-2022,Thursday,198,3,00:05:00,300
34,EM3_L1,04:25:00,04:30:00,28-04-2022,Thursday,211.2,3.2,00:05:00,300
60,EM3_L2,04:25:00,04:30:00,28-04-2022,Thursday,211.2,3.2,00:05:00,300
86,EM3_L3,04:25:00,04:30:00,28-04-2022,Thursday,211.2,3.2,00:05:00,300
35,EM3_L1,05:30:00,05:35:00,28-04-2022,Thursday,310.2,4.7,00:05:00,300
61,EM3_L2,05:30:00,05:35:00,28-04-2022,Thursday,310.2,4.7,00:05:00,300
87,EM3_L3,05:30:00,05:35:00,28-04-2022,Thursday,217.8,3.3,00:05:00,300
36,EM3_L1,06:40:00,06:45:00,28-04-2022,Thursday,217.8,3.3,00:05:00,300
62,EM3_L2,06:40:00,06:45:00,28-04-2022,Thursday,211.2,3.2,00:05:00,300
88,EM3_L3,06:40:00,06:45:00,28-04-2022,Thursday,217.8,3.3,00:05:00,300
37,EM3_L1,07:45:00,08:00:00,28-04-2022,Thursday,2534.4,16,00:15:00,900
63,EM3_L2,07:45:00,08:00:00,28-04-2022,Thursday,2534.4,16,00:15:00,900
89,EM3_L3,07:45:00,08:00:00,28-04-2022,Thursday,2554.2,16.1,00:15:00,900
120,EM4_L1,07:55:00,08:15:00,28-04-2022,Thursday,3366,15.9,00:20:00,1200
146,EM4_L2,07:55:00,08:15:00,28-04-2022,Thursday,3346.2,15.9,00:20:00,1200
170,EM4_L3,07:55:00,08:15:00,28-04-2022,Thursday,3352.8,15.9,00:20:00,1200
38,EM3_L1,08:10:00,10:15:00,28-04-2022,Thursday,49500,31.3,02:05:00,7500
64,EM3_L2,08:10:00,10:15:00,28-04-2022,Thursday,48760.8,30.9,02:05:00,7500
90,EM3_L3,08:10:00,10:15:00,28-04-2022,Thursday,49117.2,31.1,02:05:00,7500
0,EM1_L3,09:50:00,09:55:00,28-04-2022,Thursday,369.6,5.6,00:05:00,300
1,EM1_L3,10:00:00,10:45:00,28-04-2022,Thursday,4745.4,16.8,00:45:00,2700
2,EM1_L3,10:50:00,15:50:00,28-04-2022,Thursday,51658.2,22.4,05:00:00,18000
39,EM3_L1,15:30:00,17:30:00,28-04-2022,Thursday,39230.4,31.2,02:00:00,7200
65,EM3_L2,15:30:00,17:30:00,28-04-2022,Thursday,38834.4,30.9,02:00:00,7200
91,EM3_L3,15:30:00,17:30:00,28-04-2022,Thursday,38676,30.8,02:00:00,7200
121,EM4_L1,17:20:00,23:45:00,28-04-2022,Thursday,77787.6,15.7,06:25:00,23100
147,EM4_L2,17:20:00,23:45:00,28-04-2022,Thursday,75279.6,15.1,06:25:00,23100
171,EM4_L3,17:20:00,23:45:00,28-04-2022,Thursday,76606.2,15.4,06:25:00,23100
40,EM3_L1,17:35:00,20:55:00,28-04-2022,Thursday,38326.2,15.5,03:20:00,12000
66,EM3_L2,17:35:00,20:55:00,28-04-2022,Thursday,38029.2,15.3,03:20:00,12000
92,EM3_L3,17:35:00,20:55:00,28-04-2022,Thursday,38227.2,15.4,03:20:00,12000
3,EM1_L3,07:00:00,09:50:00,29-04-2022,Friday,34762.2,15.8,02:50:00,10200
122,EM4_L1,07:35:00,10:40:00,29-04-2022,Friday,68329.8,31.6,03:05:00,11100
148,EM4_L2,07:35:00,10:40:00,29-04-2022,Friday,67089,31,03:05:00,11100
172,EM4_L3,07:35:00,10:40:00,29-04-2022,Friday,67432.2,31.2,03:05:00,11100
41,EM3_L1,08:00:00,11:20:00,29-04-2022,Friday,75807.6,31.6,03:20:00,12000
67,EM3_L2,08:00:00,10:35:00,29-04-2022,Friday,60337.2,31,02:35:00,9300
93,EM3_L3,08:00:00,10:35:00,29-04-2022,Friday,60528.6,31.1,02:35:00,9300
42,EM3_L1,11:55:00,12:30:00,29-04-2022,Friday,4791.6,24.2,00:35:00,2100
68,EM3_L2,11:55:00,12:30:00,29-04-2022,Friday,4692.6,23.8,00:35:00,2100
94,EM3_L3,11:55:00,12:30:00,29-04-2022,Friday,4712.4,23.9,00:35:00,2100
43,EM3_L1,13:20:00,14:35:00,29-04-2022,Friday,21271.8,31.3,01:15:00,4500
123,EM4_L1,13:20:00,14:50:00,29-04-2022,Friday,33871.2,31.4,01:30:00,5400
149,EM4_L2,13:20:00,14:50:00,29-04-2022,Friday,33356.4,30.9,01:30:00,5400
173,EM4_L3,13:20:00,14:50:00,29-04-2022,Friday,33468.6,31,01:30:00,5400
69,EM3_L2,13:25:00,14:35:00,29-04-2022,Friday,20968.2,30.9,01:10:00,4200
95,EM3_L3,13:25:00,14:35:00,29-04-2022,Friday,21021,30.9,01:10:00,4200
4,EM1_L3,14:45:00,19:55:00,29-04-2022,Friday,55235.4,15.8,05:10:00,18600
44,EM3_L1,15:00:00,15:55:00,29-04-2022,Friday,13167,31.2,00:55:00,3300
70,EM3_L2,15:00:00,15:55:00,29-04-2022,Friday,12942.6,30.7,00:55:00,3300
96,EM3_L3,15:00:00,15:55:00,29-04-2022,Friday,12936,30.7,00:55:00,3300
124,EM4_L1,15:40:00,16:40:00,29-04-2022,Friday,14665.2,31.1,01:00:00,3600
150,EM4_L2,15:40:00,16:35:00,29-04-2022,Friday,14447.4,30.7,00:55:00,3300
174,EM4_L3,15:40:00,16:35:00,29-04-2022,Friday,14440.8,30.7,00:55:00,3300
45,EM3_L1,16:05:00,16:15:00,29-04-2022,Friday,46.2,0.5,00:10:00,600
71,EM3_L2,16:10:00,16:15:00,29-04-2022,Friday,33,0.5,00:05:00,300
97,EM3_L3,16:10:00,16:15:00,29-04-2022,Friday,33,0.5,00:05:00,300
46,EM3_L1,16:30:00,16:40:00,29-04-2022,Friday,46.2,0.4,00:10:00,600
72,EM3_L2,16:30:00,16:40:00,29-04-2022,Friday,39.6,0.4,00:10:00,600
98,EM3_L3,16:30:00,16:40:00,29-04-2022,Friday,39.6,0.4,00:10:00,600
125,EM4_L1,16:50:00,16:55:00,29-04-2022,Friday,33,0.5,00:05:00,300
151,EM4_L2,16:50:00,16:55:00,29-04-2022,Friday,33,0.5,00:05:00,300
175,EM4_L3,16:50:00,16:55:00,29-04-2022,Friday,33,0.5,00:05:00,300
47,EM3_L1,17:20:00,17:50:00,29-04-2022,Friday,2026.2,8,00:30:00,1800
126,EM4_L1,17:20:00,17:30:00,29-04-2022,Friday,26.4,0.2,00:10:00,600
73,EM3_L2,17:30:00,17:50:00,29-04-2022,Friday,1986.6,7.9,00:20:00,1200
99,EM3_L3,17:30:00,17:50:00,29-04-2022,Friday,1993.2,8,00:20:00,1200
48,EM3_L1,18:10:00,19:25:00,29-04-2022,Friday,26433,31.5,01:15:00,4500
74,EM3_L2,18:10:00,19:25:00,29-04-2022,Friday,26083.2,31.1,01:15:00,4500
100,EM3_L3,18:10:00,19:25:00,29-04-2022,Friday,26037,31,01:15:00,4500
127,EM4_L1,18:35:00,19:25:00,29-04-2022,Friday,18011.4,31.2,00:50:00,3000
152,EM4_L2,18:35:00,19:25:00,29-04-2022,Friday,17767.2,30.8,00:50:00,3000
176,EM4_L3,18:35:00,19:25:00,29-04-2022,Friday,17780.4,30.8,00:50:00,3000
49,EM3_L1,19:45:00,23:20:00,29-04-2022,Friday,43692,16,03:35:00,12900
75,EM3_L2,19:45:00,23:20:00,29-04-2022,Friday,43513.8,15.9,03:35:00,12900
101,EM3_L3,19:45:00,23:20:00,29-04-2022,Friday,43553.4,16,03:35:00,12900
